PMID	trai	gene	snps	chid	cpos	pval	meta
23850713	Crohn's disease	IL23R	rs76418789	1	67182913	2E-10	0
23850713	Crohn's disease	TBC1D1,KLF3	rs6856616	4	38323415	4E-14	0
23850713	Crohn's disease	HLA-DRB5,HLA-DQA1,HLA-DRB1,HLA-DRA,BTNL2	rs10947261	6	32405455	3E-12	0
23850713	Crohn's disease	ITPR3, MIF1, IP6K3, LEMD2, MLN	rs751728	6	33796256	1E-8	0
23850713	Crohn's disease	RNASET2, FGFR1OP, CCR6, MIR3939	rs2149085	6	166957622	8E-12	0
23850713	Crohn's disease	SMNDC1,DUSP5,RP11-525A16.1	rs11195128	10	110426390	2E-10	0
23850713	Crohn's disease	STARD10, ATG16L2, FCHSD2	rs11235667	11	73152652	7E-9	0
23850713	Crohn's disease	HLA-DRB5,HLA-DQA1,HLA-DRB1,HLA-DRA,BTNL2	rs9271366	6	32619077	5E-12	0
23266558	Crohn's disease	RUNX3	rs7551188	1	24946709	9E-6	0
23266558	Crohn's disease	TBC1D1	rs1487630	4	38334202	1E-11	0
23266558	Crohn's disease	HLA-DQA2, HLA-DRB1, HLA-DQA1, HLA-DQB1, HLA-DOB, PSMB9	rs7765379	6	32713151	9E-59	0
23266558	Crohn's disease	JAK2	rs2274471	9	4985879	5E-6	0
23266558	Crohn's disease	TNFSF15, LOC100129633, LOC645266, TNFSF8	rs6478106	9	114783386	5E-46	0
23266558	Crohn's disease	ELF1, microRNA2276, SLC25A15, WBP4	rs7329174	13	40983974	8E-9	0
23266558	Crohn's disease	STAT3	rs9891119	17	42355962	2E-15	0
23266558	Crohn's disease	SOX11	rs11894081	2	5523876	4E-9	0
23266558	Crohn's disease	ATG16L2, FCHSD2	rs72981516	11	72959855	4E-7	0
23266558	Crohn's disease	PSORS1C3	rs3094188	6	31174468	7E-7	0
23266558	Crohn's disease	PBX2, NOTCH4	rs9267911	6	32237333	3E-7	0
23128233	Crohn's disease	Intergenic	rs17391694	1	78157942	3E-9	0
23128233	Crohn's disease	PTPN22,DCLRE1B	rs6679677	1	113761186	2E-15	0
23128233	Crohn's disease	ADAM30	rs3897478	1	119908567	2E-11	0
23128233	Crohn's disease	FASLG,TNFSF18	rs9286879	1	172893094	6E-22	0
23128233	Crohn's disease	UCN	rs1728918	2	27412596	5E-16	0
23128233	Crohn's disease	Intergenic	rs10865331	2	62324337	1E-9	0
23128233	Crohn's disease	SP140	rs6716753	2	230232414	1E-16	0
23128233	Crohn's disease	ATG16L1, INPP5D	rs12994997	2	233264857	4E-70	0
23128233	Crohn's disease	TXK,TEC,SLC10A4	rs6837335	4	48361966	2E-8	0
23128233	Crohn's disease	Intergenic	rs13126505	4	101944147	2E-12	0
23128233	Crohn's disease	IL6ST,IL31RA	rs10065637	5	56143024	4E-12	0
23128233	Crohn's disease	Intergenic	rs7702331	5	73255307	6E-10	0
23128233	Crohn's disease	CPEB4	rs17695092	5	173910850	5E-9	0
23128233	Crohn's disease	Intergenic	rs12663356	6	21430497	4E-12	0
23128233	Crohn's disease	HLA-C,PSORS1C1,NFKBIL1,MICB	rs9264942	6	31306603	5E-28	0
23128233	Crohn's disease	Intergenic	rs9491697	6	127134977	4E-10	0
23128233	Crohn's disease	Intergenic	rs13204742	6	127924620	8E-15	0
23128233	Crohn's disease	TAGAP	rs212388	6	159069404	3E-14	0
23128233	Crohn's disease	Intergenic	rs10486483	7	26852821	3E-8	0
23128233	Crohn's disease	CREB5,JAZF1	rs864745	7	28140937	4E-9	0
23128233	Crohn's disease	RIPK2	rs7015630	8	89863690	1E-8	0
23128233	Crohn's disease	Intergenic	rs6651252	8	128554935	1E-16	0
23128233	Crohn's disease	LACC1	rs3764147	13	43883789	2E-21	0
23128233	Crohn's disease	RASGRP1,SPRED1	rs16967103	15	38606989	4E-9	0
23128233	Crohn's disease	NOD2,ADCY7	rs2066847	16	50729867	6E-209	0
23128233	Crohn's disease	LGALS9,NOS2	rs2945412	17	27516617	9E-17	0
23128233	Crohn's disease	GPX4,HMHA1	rs2024092	19	1124032	8E-22	0
23128233	Crohn's disease	Intergenic	rs4802307	19	46346549	2E-10	0
23128233	Crohn's disease	DBP,SPHK2,IZUMO1,FUT2	rs516246	19	48702915	1E-15	0
23128233	Crohn's disease	IFNGR2,IFNAR1,IFNAR2,IL10RB,GART,TMEM50B	rs2284553	21	33404389	2E-16	0
22936669	Crohn's disease	AIF1	rs9348876	6	31607499	3E-6	0
22936669	Crohn's disease	FOXP2	rs1869839	7	114717488	7E-6	0
22936669	Crohn's disease	IFNGR2	rs2834215	21	33424579	3E-7	0
22936669	Crohn's disease	RBX1, EP300	rs4820425	22	41035338	3E-8	0
22936669	Crohn's disease	NOD2	rs2076756	16	50722970	3E-10	0
22936669	Crohn's disease	IL23R	rs11209026	1	67240275	4E-14	0
22936669	Crohn's disease	ATG16L1	rs3792109	2	233275771	5E-9	0
22936669	Crohn's disease	PTGER4	rs11742570	5	40410482	1E-6	0
22936669	Crohn's disease	ZNF365	rs10761659	10	62685804	5E-6	0
22936669	Crohn's disease	CARD9, SNAPC4	rs4077515	9	136372044	4E-6	0
22412388	Crohn's disease	IL23R, IL12RB2, C1orf141, SERBP1,SLC35D1	rs11209026	1	67240275	1E-18	0
22412388	Crohn's disease	ATG16L1, SAG, DGKD, INPP5D, USP40	rs2241880	2	233274722	1E-12	0
22412388	Crohn's disease	TMEM17, EHBP1, CPAMD8, AK3	rs6545946	2	62486398	7E-9	0
22412388	Crohn's disease	PTGER4	rs9292777	5	40437846	2E-11	0
