PMID	trai	gene	snps	chid	cpos	pval	meta
22479346	Hypertension	NR	NR			NS	0
22384028	Hypertension	FSTL4	rs6596140	5	133686160	9E-8	0
22384028	Hypertension	NR	rs10021303	4	94935530	7E-6	0
22384028	Hypertension	NR	rs1110183	9	38456368	8E-6	0
21909115	Hypertension	GNAS, EDN3	rs6015450	20	59176062	4E-14	0
21909115	Hypertension	FLJ32810, TMEM133	rs633185	11	100722807	5E-11	0
21909115	Hypertension	BAT2, BAT5	rs805303	6	31648589	1E-10	0
21909115	Hypertension	HFE	rs1799945	6	26090951	2E-10	0
21909115	Hypertension	NPR3, C5orf23	rs1173771	5	32814922	3E-10	0
21909115	Hypertension	PLCE1	rs932764	10	94136183	9E-9	0
21909115	Hypertension	CACNB2	rs4373814	10	18131043	9E-8	0
21909115	Hypertension	EBF1	rs11953630	5	158418394	2E-7	0
21909115	Hypertension	MOV10	rs2932538	1	112673921	3E-7	0
21909115	Hypertension	SLC39A8	rs13107325	4	102267552	5E-7	0
21909115	Hypertension	FURIN, FES	rs2521501	15	90894158	7E-7	0
21626137	Hypertension	Intergenic	rs10496288, rs10496289			2E-9	0
21626137	Hypertension	GPR39	rs13420028, rs10188442			1E-10	0
21626137	Hypertension	RANBP3L	rs7735940, rs12522034			5E-13	0
21626137	Hypertension	XRCC4	rs6452524, rs6887846			2E-7	0
21626137	Hypertension	MYO6	rs3798440, rs9350602			3E-10	0
21626137	Hypertension	NOV	rs2469997, rs6469823			3E-16	0
21626137	Hypertension	ZFAT	rs7827545, rs1372662			2E-44	0
21626137	Hypertension	AN06	rs7960483, rs10785581			1E-7	0
21626137	Hypertension	MACROD2	rs200752, rs200759			7E-9	0
21082022	Hypertension	UMOD	rs13333226	16	20354332	4E-11	0
20877124	Hypertension	NR	NR			NS	0
19609347	Hypertension	ADH7	rs991316	4	99401288	5E-6	0
19609347	Hypertension	ALDH1A2	rs1550576	15	57921216	3E-6	0
19430479	Hypertension	MSRA	rs11775334	8	10214110	4E-6	0
19430479	Hypertension	CACNB2	rs11014166	10	18419869	6E-8	0
19430479	Hypertension	ATP2B1	rs2681472	12	89615182	2E-11	0
19430479	Hypertension	ZNF831, EDN3	rs16982520	20	59183665	2E-7	0
19304780	Hypertension	CDH13	rs11646213	16	82609046	8E-6	0
