PMID	trai	gene	snps	chid	cpos	pval	meta
24618891	Bipolar disorder	ANK3	rs10994415	10	60562276	7E-11	0
24618891	Bipolar disorder	ODZ4	rs12290811	11	79372576	1E-9	0
24618891	Bipolar disorder	ADCY2	rs17826816	5	7519185	1E-8	0
24618891	Bipolar disorder	MIR2113, POU3F2	rs12202969	6	98128347	1E-8	0
24618891	Bipolar disorder	TRANK1	rs6550435	3	36822998	2E-8	0
24618891	Bipolar disorder	NCAN	rs2011503	19	19333177	9E-8	0
24387768	Bipolar disorder	NR	NR			NS	0
22925353	Bipolar disorder	NF1A	rs41350144	1	61350127	3E-7	0
22925353	Bipolar disorder	NF1A	rs41453448,rs1125777,rs12568010			2E-7	0
22925353	Bipolar disorder	NF1A	rs1125777, rs12568010			2E-7	0
22925353	Bipolar disorder	NF1A	rs17121983, rs7556462			4E-7	0
22925353	Bipolar disorder	NF1A	rs7556462, rs4915737			4E-7	0
22925353	Bipolar disorder	AUTS2	rs10237317	7	70580955	5E-6	0
22925353	Bipolar disorder	TTC39B	rs2245641	9	15309930	2E-6	0
22925353	Bipolar disorder	PIGY	rs9995093	4	88299792	7E-6	0
22925353	Bipolar disorder	PGM5	rs3750552	9	69328086	5E-6	0
22925353	Bipolar disorder	Intergenic	rs7897194	10	20503405	8E-6	0
22925353	Bipolar disorder	Intergenic	rs312273	12	40853940	9E-6	0
22925353	Bipolar disorder	Intergenic	rs4467006	14	77218327	7E-6	0
22925353	Bipolar disorder	Intergenic	rs2287375	14	77218499	5E-6	0
22925353	Bipolar disorder	Intergenic	rs6510489	19	35482387	8E-6	0
22925353	Bipolar disorder	SERINC3	rs6124684	20	45092852	9E-6	0
22688191	Bipolar disorder	Intergenic	rs17746001	4	179734472	3E-7	0
22688191	Bipolar disorder	CMKLR1	rs17040430	12	108349043	9E-7	0
22688191	Bipolar disorder	IRF2BP2	rs271738	1	234527144	5E-6	0
22688191	Bipolar disorder	DLC1	rs289585	8	13403027	5E-6	0
22205951	Bipolar disorder	RP11-252P19.1	rs1039002	6	165741969	2E-8	0
22205951	Bipolar disorder	MARK1	rs12563333	1	220484892	6E-8	0
22205951	Bipolar disorder	Intergenic	rs2727943	3	1856289	3E-8	0
22182935	Bipolar disorder	PTGFR	rs4650608	1	78772330	8E-9	1
22182935	Bipolar disorder	LMAN2L	rs2271893	2	96739703	2E-10	1
22182935	Bipolar disorder	Intergenic	rs7618915	3	52245578	3E-10	1
22182935	Bipolar disorder	TRANK1	rs9834970	3	36814539	1E-12	1
22182935	Bipolar disorder	ANK3	rs4948418	10	60425736	4E-10	1
21926972	Bipolar disorder	CANCNA1C	rs4765913	12	2310730	2E-8	0
21926972	Bipolar disorder	ZDHHC24, YIF1A, TMEM151A, SYT12, SPTBN2,SLC29A2, SF3B2, RIN1, RCE1, RBM4B, RBM4, RBM14, RAB1B, PELI3, PC, PACS1, NPAS4, MRPL11, LRFN4, KLC2, GAL3ST3, DPP3, CTSF, CNIH2, CD248, CCS, CCDC87, C11orf86, C11orf80, BRMS1, BBS1, B3GNT1, ACTN3	rs10896135	11	66783531	2E-7	0
21926972	Bipolar disorder	RND1, DDX23, CANCNB3	rs2070615	12	48824388	1E-6	0
21926972	Bipolar disorder	ODZ4	rs12576775	11	79366149	4E-8	0
21926972	Bipolar disorder	Intergenic	rs3845817	2	65531391	2E-6	0
21926972	Bipolar disorder	Intergenic	rs2176528	2	194007459	4E-6	0
21926972	Bipolar disorder	Intergenic	rs4660531	1	41374150	3E-6	0
21926972	Bipolar disorder	TXNDC9, TSGA10, REV1, MRPL30, MITD1, MGAT4A, LYG1, LYG2, LIPT1, EIF5B, C2orf55, C2orf15	rs7578035	2	98766429	3E-6	0
21926972	Bipolar disorder	SPHK2, SEC1, RPL18, RASIP1, NTN5, MAMSTR, IZUMO1, FUT2, FUT1, FGF21, FAM83E, DBP, CA11	rs2287921	19	48725015	3E-6	0
21926972	Bipolar disorder	LOC731779, GPR20	rs7827290	8	141290216	9E-6	0
21926972	Bipolar disorder	Intergenic	rs12730292	1	78789077	5E-6	0
21926972	Bipolar disorder	LMAN2L, FER1L5, CNNM4	rs6746896	2	96745212	2E-6	0
21926972	Bipolar disorder	WDR82, TWF2, TNNC1, TMEM110, TLR9, STAB1,SPCS1, SNORD69, SNORD19, SNORD19B, SFMBT1, SEMA3G, RFT1, PRKCD, PPM1M, PHF7, PBRM1, NT5DC2, NISCH, NEK4, MUSTN1, LOC440957, ITIH1, ITIH3, ITIH4, GNL3, GLYCTK, GLT8D1, DNAH1, BAP1, ALAS1	rs736408	3	52801338	2E-6	0
21926972	Bipolar disorder	SYNE1	rs9371601	6	152469438	7E-7	0
21926972	Bipolar disorder	ANK3	rs10994397	10	60519366	3E-7	0
21926972	Bipolar disorder	C15orf53	rs12912251	15	38694167	3E-6	0
21926972	Bipolar disorder	MAD1L1	rs4332037	7	1911173	7E-6	0
21926972	Bipolar disorder	LBA1	rs6550435	3	36822998	9E-6	0
21771265	Bipolar disorder	GRIK5	rs8099939	19	42016956	2E-6	0
21771265	Bipolar disorder	PARD6B	rs6122972	20	50758705	3E-6	0
21771265	Bipolar disorder	CTSH	rs2289700	15	78932341	9E-6	0
21738484	Bipolar disorder	NFIA	rs2989476	1	60593587	3E-6	0
21738484	Bipolar disorder	MGAT4A	rs12618769	2	98623468	1E-6	0
21738484	Bipolar disorder	SYNE1	rs7747960	6	152470339	9E-6	0
21738484	Bipolar disorder	SGCG	rs4770394	13	23118839	9E-6	0
21738484	Bipolar disorder	HNRNPC	rs17197037	14	21257495	2E-6	0
21738484	Bipolar disorder	CD276	rs1038094	15	73720096	9E-6	0
21353194	Bipolar disorder	NCAN	rs1064395	19	19250926	2E-9	0
21254220	Bipolar disorder	NR	rs9378249	6	31359924	1E-8	0
21254220	Bipolar disorder	NR	rs12938916	17	57788926	5E-7	0
21254220	Bipolar disorder	NR	rs420259	16	23622705	9E-9	0
21254220	Bipolar disorder	NR	rs3761218	20	3795528	1E-6	0
21254220	Bipolar disorder	NR	rs2989476	1	60593587	2E-6	0
21254220	Bipolar disorder	NR	rs4027132	2	11897366	3E-6	0
21254220	Bipolar disorder	NR	rs7570682	2	104366809	3E-6	0
21254220	Bipolar disorder	NR	rs1375144	2	115483610	2E-6	0
21254220	Bipolar disorder	NR	rs2953174	2	240582850	6E-6	0
21254220	Bipolar disorder	NR	rs4627791	3	32306332	2E-6	0
21254220	Bipolar disorder	NR	rs514636	3	183152648	7E-7	0
21254220	Bipolar disorder	NR	rs6844851	4	179766847	9E-7	0
21254220	Bipolar disorder	NR	rs2286492	7	22945391	8E-6	0
21254220	Bipolar disorder	NR	rs2609653	8	34379474	7E-6	0
21254220	Bipolar disorder	NR	rs4739466	8	37084024	4E-6	0
21254220	Bipolar disorder	NR	rs914715	9	79695983	1E-6	0
21254220	Bipolar disorder	NR	rs10982256	9	114498554	9E-6	0
21254220	Bipolar disorder	NR	rs17600642	10	70703238	5E-6	0
21254220	Bipolar disorder	NR	rs1568889	11	27987916	2E-6	0
21254220	Bipolar disorder	NR	rs10134944	14	57652478	1E-6	0
21254220	Bipolar disorder	NR	rs6574988	14	88093648	4E-6	0
21254220	Bipolar disorder	NR	rs11622475	14	104042739	2E-6	0
21254220	Bipolar disorder	RPGRIP1L	rs1344484	16	52878387	2E-6	0
21254220	Bipolar disorder	NR	rs7247513	19	12580371	2E-6	0
20451256	Bipolar disorder	NR	NR			NS	0
19488044	Bipolar disorder	DPY19L3	rs2111504	19	32426549	2E-6	0
19416921	Bipolar disorder	NF1A	rs472913	1	60629886	2E-7	1
19416921	Bipolar disorder	CTNNA2	rs13409348	2	79312862	3E-6	1
19416921	Bipolar disorder	Intergenic	rs6733011	2	98849039	3E-6	1
19416921	Bipolar disorder	ITIH1, NEK4	rs1042779	3	52786995	2E-7	1
19416921	Bipolar disorder	NR	rs7427021	3	164044176	5E-6	1
19416921	Bipolar disorder	KIT	rs2537859	4	54616651	4E-6	1
19416921	Bipolar disorder	MCTP1	rs17418283	5	94818883	1E-7	1
19416921	Bipolar disorder	NR	rs6990255	8	34269430	6E-6	1
19416921	Bipolar disorder	NR	rs2905072	9	132969648	6E-6	1
19416921	Bipolar disorder	NR	rs2242663	11	66567837	1E-6	1
19416921	Bipolar disorder	NR	rs6494849	15	70188275	7E-6	1
19416921	Bipolar disorder	NR	rs1035050	17	49486650	9E-6	1
19416921	Bipolar disorder	NR	rs7250872	19	1811604	2E-6	1
19259986	Bipolar disorder	NR	NR			NS	0
19114987	Bipolar disorder	Pending	Pending			Pending	0
18711365	Bipolar disorder	ANK3	rs10994336	10	60420054	9E-9	0
18711365	Bipolar disorder	C15orf53, RASGRP1	rs12899449	15	38703290	4E-7	0
18711365	Bipolar disorder	Intergenic	rs2314398	2	96747751	3E-6	0
18711365	Bipolar disorder	NR	rs4130590	9	127345685	3E-6	0
18711365	Bipolar disorder	NR	rs12290811	11	79372576	4E-6	0
18711365	Bipolar disorder	NR	rs17082664	6	152417619	4E-6	0
18711365	Bipolar disorder	NR	rs16966460	15	38219782	4E-6	0
18711365	Bipolar disorder	NR	rs4380451	3	32288005	4E-6	0
18711365	Bipolar disorder	NR	rs216345	9	33799372	4E-6	0
18711365	Bipolar disorder	NR	rs3821396	3	21664877	5E-6	0
18711365	Bipolar disorder	NR	rs8015959	14	33011716	5E-6	0
18711365	Bipolar disorder	NR	rs12436436	14	23912306	5E-6	0
18711365	Bipolar disorder	NR	rs11720452	3	21207150	5E-6	0
18711365	Bipolar disorder	NR	rs1948368	1	101472921	6E-6	0
